Country Name,Country Code,year,gdp,Region,IncomeGroup
Bangladesh,BGD,1981-01-01,20249694002.448,South Asia,Lower middle income
Bulgaria,BGR,1981-01-01,19870000000.0,Europe & Central Asia,High income
Bahrain,BHR,1981-01-01,3943109531.91489,Middle East & North Africa,High income
"Bahamas, The",BHS,1981-01-01,1426500000.0,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1981-01-01,,Europe & Central Asia,Upper middle income
Belarus,BLR,1981-01-01,,Europe & Central Asia,Upper middle income
Belize,BLZ,1981-01-01,260750000.0,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1981-01-01,739100032.0,North America,High income
Bolivia,BOL,1981-01-01,5778480000.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1981-01-01,258015174748.648,Latin America & Caribbean,Upper middle income
Barbados,BRB,1981-01-01,1114204743.20091,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1981-01-01,9367218664.31094,East Asia & Pacific,High income
Bhutan,BTN,1981-01-01,139174178.090189,South Asia,Lower middle income
Botswana,BWA,1981-01-01,1073812830.30052,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1981-01-01,694803622.898966,Sub-Saharan Africa,Low income
Canada,CAN,1981-01-01,307246642755.859,North America,High income
Central Europe and the Baltics,CEB,1981-01-01,,,
Switzerland,CHE,1981-01-01,112244805518.786,Europe & Central Asia,High income
Channel Islands,CHI,1981-01-01,,Europe & Central Asia,High income
Chile,CHL,1981-01-01,34509878043.5897,Latin America & Caribbean,High income
China,CHN,1981-01-01,195866382432.54,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1981-01-01,8432589942.39434,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1981-01-01,6610938616.6643,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1981-01-01,12537821038.2202,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1981-01-01,1993512322.62391,Sub-Saharan Africa,Lower middle income
Colombia,COL,1981-01-01,36388366869.0309,Latin America & Caribbean,Upper middle income
Comoros,COM,1981-01-01,196349931.540286,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1981-01-01,139468209.116206,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1981-01-01,2623803095.78501,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1981-01-01,4985368810.71414,,
Cuba,CUB,1981-01-01,20150254096.3855,Latin America & Caribbean,Upper middle income
Curacao,CUW,1981-01-01,,Latin America & Caribbean,High income
Cayman Islands,CYM,1981-01-01,,Latin America & Caribbean,High income
Cyprus,CYP,1981-01-01,2087496373.77964,Europe & Central Asia,High income
Czechia,CZE,1981-01-01,,Europe & Central Asia,High income
Germany,DEU,1981-01-01,803404797057.551,Europe & Central Asia,High income
Djibouti,DJI,1981-01-01,,Middle East & North Africa,Lower middle income
Dominica,DMA,1981-01-01,82107391.1111111,Latin America & Caribbean,Upper middle income
Denmark,DNK,1981-01-01,61459941460.5385,Europe & Central Asia,High income
Dominican Republic,DOM,1981-01-01,7561300000.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1981-01-01,44348590460.9288,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1981-01-01,403201887097.025,,
Early-demographic dividend,EAR,1981-01-01,1532276754847.6,,
East Asia & Pacific,EAS,1981-01-01,2033286438994.55,,
Europe & Central Asia (excluding high income),ECA,1981-01-01,,,
Europe & Central Asia,ECS,1981-01-01,4105639732368.12,,
Ecuador,ECU,1981-01-01,21810759353.7304,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1981-01-01,22136081081.0811,Middle East & North Africa,Lower middle income
Euro area,EMU,1981-01-01,2583763815706.43,,
Eritrea,ERI,1981-01-01,,Sub-Saharan Africa,Low income
Spain,ESP,1981-01-01,202663023968.283,Europe & Central Asia,High income
Estonia,EST,1981-01-01,,Europe & Central Asia,High income
Ethiopia,ETH,1981-01-01,7507663566.66667,Sub-Saharan Africa,Low income
European Union,EUU,1981-01-01,2889973709007.02,,
Fragile and conflict affected situations,FCS,1981-01-01,511405516848.27,,
Finland,FIN,1981-01-01,52440066133.9212,Europe & Central Asia,High income
Fiji,FJI,1981-01-01,1235626770.50924,East Asia & Pacific,Upper middle income
France,FRA,1981-01-01,609184791792.396,Europe & Central Asia,High income
Faroe Islands,FRO,1981-01-01,456244919.010912,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1981-01-01,76472529.0,East Asia & Pacific,Lower middle income
Gabon,GAB,1981-01-01,3862269120.53497,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1981-01-01,540765675241.158,Europe & Central Asia,High income
Georgia,GEO,1981-01-01,,Europe & Central Asia,Upper middle income
Ghana,GHA,1981-01-01,4222441860.46512,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,1981-01-01,,Europe & Central Asia,High income
Guinea,GIN,1981-01-01,9646440666.52864,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,1981-01-01,218767743.459101,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1981-01-01,402230865.151515,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1981-01-01,36731422.8456914,Sub-Saharan Africa,Upper middle income
Greece,GRC,1981-01-01,51618456334.5633,Europe & Central Asia,High income
Grenada,GRD,1981-01-01,115651918.888889,Latin America & Caribbean,Upper middle income
Greenland,GRL,1981-01-01,435748993.418421,Europe & Central Asia,High income
Guatemala,GTM,1981-01-01,8607500300.0,Latin America & Caribbean,Upper middle income
Guam,GUM,1981-01-01,,East Asia & Pacific,High income
Guyana,GUY,1981-01-01,570357107.142857,Latin America & Caribbean,High income
High income,HIC,1981-01-01,9464732292155.74,,
"Hong Kong SAR, China",HKG,1981-01-01,31055226088.6943,East Asia & Pacific,High income
Honduras,HND,1981-01-01,4043894878.5,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,1981-01-01,127628494210.929,,
Croatia,HRV,1981-01-01,,Europe & Central Asia,High income
Haiti,HTI,1981-01-01,1479400000.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,1981-01-01,23628554956.6052,Europe & Central Asia,High income
IBRD only,IBD,1981-01-01,2594939410213.75,,
IDA & IBRD total,IBT,1981-01-01,3044271572519.91,,
IDA total,IDA,1981-01-01,422940810621.199,,
IDA blend,IDB,1981-01-01,237670400560.123,,
Indonesia,IDN,1981-01-01,85518233419.0479,East Asia & Pacific,Upper middle income
IDA only,IDX,1981-01-01,179304327013.311,,
Isle of Man,IMN,1981-01-01,,Europe & Central Asia,High income
India,IND,1981-01-01,193491368445.573,South Asia,Lower middle income
Not classified,INX,1981-01-01,,,
Ireland,IRL,1981-01-01,20670190138.1671,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1981-01-01,100499312749.922,Middle East & North Africa,Upper middle income
Iraq,IRQ,1981-01-01,37823000000.0,Middle East & North Africa,Upper middle income
Iceland,ISL,1981-01-01,3492997010.04956,Europe & Central Asia,High income
Israel,ISR,1981-01-01,26833679976.4861,Middle East & North Africa,High income
Italy,ITA,1981-01-01,431695533980.583,Europe & Central Asia,High income
Jamaica,JAM,1981-01-01,2979027966.45373,Latin America & Caribbean,Upper middle income
Jordan,JOR,1981-01-01,4383944702.85958,Middle East & North Africa,Lower middle income
Japan,JPN,1981-01-01,1245221410764.15,East Asia & Pacific,High income
Kazakhstan,KAZ,1981-01-01,,Europe & Central Asia,Upper middle income
Kenya,KEN,1981-01-01,6854491705.88377,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,1981-01-01,,Europe & Central Asia,Lower middle income
Cambodia,KHM,1981-01-01,815153652.415596,East Asia & Pacific,Lower middle income
Kiribati,KIR,1981-01-01,35267489.2425442,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,1981-01-01,80888888.8888889,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1981-01-01,72933533011.7706,East Asia & Pacific,High income
Kuwait,KWT,1981-01-01,25058020338.2535,Middle East & North Africa,High income
Latin America & Caribbean (excluding high income),LAC,1981-01-01,746741303022.229,,
Lao PDR,LAO,1981-01-01,,East Asia & Pacific,Lower middle income
Lebanon,LBN,1981-01-01,,Middle East & North Africa,Lower middle income
Liberia,LBR,1981-01-01,846514500.0,Sub-Saharan Africa,Low income
Libya,LBY,1981-01-01,36374353880.3994,Middle East & North Africa,Upper middle income
St. Lucia,LCA,1981-01-01,194444444.444444,Latin America & Caribbean,Upper middle income
Latin America & Caribbean,LCN,1981-01-01,894561377247.157,,
Least developed countries: UN classification,LDC,1981-01-01,138082627423.231,,
Low income,LIC,1981-01-01,89890316955.5652,,
Liechtenstein,LIE,1981-01-01,511647750.124475,Europe & Central Asia,High income
Sri Lanka,LKA,1981-01-01,4415844155.84416,South Asia,Lower middle income
Lower middle income,LMC,1981-01-01,636334939388.951,,
Low & middle income,LMY,1981-01-01,2318344474367.45,,
Lesotho,LSO,1981-01-01,434188034.188034,Sub-Saharan Africa,Lower middle income
Late-demographic dividend,LTE,1981-01-01,1380125520678.34,,
Lithuania,LTU,1981-01-01,,Europe & Central Asia,High income
Luxembourg,LUX,1981-01-01,5053665797.47936,Europe & Central Asia,High income
Latvia,LVA,1981-01-01,,Europe & Central Asia,High income
"Macao SAR, China",MAC,1981-01-01,,East Asia & Pacific,High income
St. Martin (French part),MAF,1981-01-01,,Latin America & Caribbean,High income
Morocco,MAR,1981-01-01,17788185478.944,Middle East & North Africa,Lower middle income
Monaco,MCO,1981-01-01,1205188647.93163,Europe & Central Asia,High income
Moldova,MDA,1981-01-01,,Europe & Central Asia,Upper middle income
Madagascar,MDG,1981-01-01,4759333998.36746,Sub-Saharan Africa,Low income
Maldives,MDV,1981-01-01,44781456.9536424,South Asia,Upper middle income
Middle East & North Africa,MEA,1981-01-01,610113844973.549,,
Mexico,MEX,1981-01-01,263797827860.494,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1981-01-01,31020000.0,East Asia & Pacific,Upper middle income
Middle income,MIC,1981-01-01,2232744276175.66,,
North Macedonia,MKD,1981-01-01,,Europe & Central Asia,Upper middle income
Mali,MLI,1981-01-01,1538972424.36635,Sub-Saharan Africa,Low income
Malta,MLT,1981-01-01,1243509901.59105,Middle East & North Africa,High income
Myanmar,MMR,1981-01-01,1111000765.28987,East Asia & Pacific,Lower middle income
Middle East & North Africa (excluding high income),MNA,1981-01-01,300352134295.243,,
Montenegro,MNE,1981-01-01,,Europe & Central Asia,Upper middle income
Mongolia,MNG,1981-01-01,2310099100.0,East Asia & Pacific,Upper middle income
Northern Mariana Islands,MNP,1981-01-01,,East Asia & Pacific,High income
Mozambique,MOZ,1981-01-01,,Sub-Saharan Africa,Low income
Mauritania,MRT,1981-01-01,1105494681.63193,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,1981-01-01,1157769443.59463,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1981-01-01,1801193909.52073,Sub-Saharan Africa,Low income
Malaysia,MYS,1981-01-01,25004285791.7865,East Asia & Pacific,Upper middle income
North America,NAC,1981-01-01,3515026742787.86,,
Namibia,NAM,1981-01-01,2249908578.03115,Sub-Saharan Africa,Upper middle income
New Caledonia,NCL,1981-01-01,972564154.815131,East Asia & Pacific,High income
Niger,NER,1981-01-01,2170893414.3888,Sub-Saharan Africa,Low income
Nigeria,NGA,1981-01-01,164475209515.939,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1981-01-01,2474700227.04662,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1981-01-01,164375775854.456,Europe & Central Asia,High income
Norway,NOR,1981-01-01,63596654760.8677,Europe & Central Asia,High income
Nepal,NPL,1981-01-01,2275583316.66667,South Asia,Lower middle income
Nauru,NRU,1981-01-01,51689636.5958435,East Asia & Pacific,High income
New Zealand,NZL,1981-01-01,24417617184.2478,East Asia & Pacific,High income
OECD members,OED,1981-01-01,9025699987612.13,,
Oman,OMN,1981-01-01,7259120150.55009,Middle East & North Africa,High income
Other small states,OSS,1981-01-01,26649428435.0305,,
Pakistan,PAK,1981-01-01,28100606060.6061,South Asia,Lower middle income
Panama,PAN,1981-01-01,5222421500.0,Latin America & Caribbean,High income
Peru,PER,1981-01-01,21648214892.8828,Latin America & Caribbean,Upper middle income
Philippines,PHL,1981-01-01,40499388869.1271,East Asia & Pacific,Lower middle income
Palau,PLW,1981-01-01,32726594.0,East Asia & Pacific,High income
Papua New Guinea,PNG,1981-01-01,2498190847.39668,East Asia & Pacific,Lower middle income
Poland,POL,1981-01-01,,Europe & Central Asia,High income
Pre-demographic dividend,PRE,1981-01-01,324554801784.777,,
Puerto Rico,PRI,1981-01-01,15955700000.0,Latin America & Caribbean,High income
"Korea, Dem. People's Rep.",PRK,1981-01-01,,East Asia & Pacific,Low income
Portugal,PRT,1981-01-01,31977276872.9642,Europe & Central Asia,High income
Paraguay,PRY,1981-01-01,5624515873.01587,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,1981-01-01,,Middle East & North Africa,Lower middle income
Pacific island small states,PSS,1981-01-01,1955541041.41009,,
Post-demographic dividend,PST,1981-01-01,8676822920250.19,,
French Polynesia,PYF,1981-01-01,1234743073.00034,East Asia & Pacific,High income
Qatar,QAT,1981-01-01,8661263763.73626,Middle East & North Africa,High income
Romania,ROU,1981-01-01,,Europe & Central Asia,High income
Russian Federation,RUS,1981-01-01,,Europe & Central Asia,High income
Rwanda,RWA,1981-01-01,1407062526.91521,Sub-Saharan Africa,Low income
South Asia,SAS,1981-01-01,250076708191.894,,
Saudi Arabia,SAU,1981-01-01,184291360138.69,Middle East & North Africa,High income
Sudan,SDN,1981-01-01,10753888154.2798,Sub-Saharan Africa,Low income
Senegal,SEN,1981-01-01,4095892780.58289,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1981-01-01,14175228843.6391,East Asia & Pacific,High income
Solomon Islands,SLB,1981-01-01,193750540.701429,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,1981-01-01,1114830471.91787,Sub-Saharan Africa,Low income
El Salvador,SLV,1981-01-01,3437200200.0,Latin America & Caribbean,Upper middle income
San Marino,SMR,1981-01-01,,Europe & Central Asia,High income
Somalia,SOM,1981-01-01,699302473.050095,Sub-Saharan Africa,Low income
Serbia,SRB,1981-01-01,,Europe & Central Asia,Upper middle income
Sub-Saharan Africa (excluding high income),SSA,1981-01-01,404152048958.096,,
South Sudan,SSD,1981-01-01,,Sub-Saharan Africa,Low income
Sub-Saharan Africa,SSF,1981-01-01,404311362942.53,,
Small states,SST,1981-01-01,33408246377.5451,,
Sao Tome and Principe,STP,1981-01-01,83499263.5007481,Sub-Saharan Africa,Lower middle income
Suriname,SUR,1981-01-01,889000000.0,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,1981-01-01,,Europe & Central Asia,High income
Slovenia,SVN,1981-01-01,,Europe & Central Asia,High income
Sweden,SWE,1981-01-01,129500408223.723,Europe & Central Asia,High income
Eswatini,SWZ,1981-01-01,570774824.830585,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),SXM,1981-01-01,,Latin America & Caribbean,High income
Seychelles,SYC,1981-01-01,163750728.155916,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1981-01-01,15518201335.3151,Middle East & North Africa,Low income
Turks and Caicos Islands,TCA,1981-01-01,,Latin America & Caribbean,High income
Chad,TCD,1981-01-01,876937558.273757,Sub-Saharan Africa,Low income
East Asia & Pacific (IDA & IBRD countries),TEA,1981-01-01,402780679114.633,,
Europe & Central Asia (IDA & IBRD countries),TEC,1981-01-01,,,
Togo,TGO,1981-01-01,1359026709.45126,Sub-Saharan Africa,Low income
Thailand,THA,1981-01-01,34846039193.6131,East Asia & Pacific,Upper middle income
Tajikistan,TJK,1981-01-01,,Europe & Central Asia,Lower middle income
Turkmenistan,TKM,1981-01-01,,Europe & Central Asia,Upper middle income
Latin America & the Caribbean (IDA & IBRD countries),TLA,1981-01-01,852606003603.785,,
Timor-Leste,TLS,1981-01-01,,East Asia & Pacific,Lower middle income
Middle East & North Africa (IDA & IBRD countries),TMN,1981-01-01,297574328577.755,,
Tonga,TON,1981-01-01,62242013.3302689,East Asia & Pacific,Upper middle income
South Asia (IDA & IBRD),TSA,1981-01-01,250076708191.894,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1981-01-01,404311362942.53,,
Trinidad and Tobago,TTO,1981-01-01,6992083336.2467,Latin America & Caribbean,High income
Tunisia,TUN,1981-01-01,8428445294.08429,Middle East & North Africa,Lower middle income
Turkiye,TUR,1981-01-01,71180180180.1802,Europe & Central Asia,Upper middle income
Tuvalu,TUV,1981-01-01,4773017.53163822,East Asia & Pacific,Upper middle income
Tanzania,TZA,1981-01-01,13161540377.5792,Sub-Saharan Africa,Lower middle income
Uganda,UGA,1981-01-01,1337300000.0,Sub-Saharan Africa,Low income
Ukraine,UKR,1981-01-01,,Europe & Central Asia,Upper middle income
Upper middle income,UMC,1981-01-01,1594146125937.72,,
Uruguay,URY,1981-01-01,11048301420.6301,Latin America & Caribbean,High income
United States,USA,1981-01-01,3207041000000.0,North America,High income
Uzbekistan,UZB,1981-01-01,,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,1981-01-01,102086539.259259,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1981-01-01,66327441860.4651,Latin America & Caribbean,
British Virgin Islands,VGB,1981-01-01,,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,1981-01-01,,Latin America & Caribbean,High income
Viet Nam,VNM,1981-01-01,,East Asia & Pacific,Lower middle income
Vanuatu,VUT,1981-01-01,113781795.82356,East Asia & Pacific,Lower middle income
World,WLD,1981-01-01,11839946290807.0,,
Samoa,WSM,1981-01-01,118190654.675563,East Asia & Pacific,Lower middle income
Kosovo,XKX,1981-01-01,,Europe & Central Asia,Upper middle income
"Yemen, Rep.",YEM,1981-01-01,,Middle East & North Africa,Low income
South Africa,ZAF,1981-01-01,93141472163.7596,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1981-01-01,4008126497.36464,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,1981-01-01,8011373800.0,Sub-Saharan Africa,Lower middle income
Aruba,ABW,1982-01-01,,Latin America & Caribbean,High income
Africa Eastern and Southern,AFE,1982-01-01,178405098013.479,,
Afghanistan,AFG,1982-01-01,,South Asia,Low income
Africa Western and Central,AFW,1982-01-01,195918303003.476,,
Angola,AGO,1982-01-01,5550483035.96497,Sub-Saharan Africa,Lower middle income
Albania,ALB,1982-01-01,1861163170.16317,Europe & Central Asia,Upper middle income
Andorra,AND,1982-01-01,375914743.581006,Europe & Central Asia,High income
Arab World,ARB,1982-01-01,463080469413.228,,
United Arab Emirates,ARE,1982-01-01,46622718605.2847,Middle East & North Africa,High income
Argentina,ARG,1982-01-01,84307486836.724,Latin America & Caribbean,Upper middle income
Armenia,ARM,1982-01-01,,Europe & Central Asia,Upper middle income
American Samoa,ASM,1982-01-01,,East Asia & Pacific,High income
Antigua and Barbuda,ATG,1982-01-01,166425925.925926,Latin America & Caribbean,High income
Australia,AUS,1982-01-01,194041708043.694,East Asia & Pacific,High income
Austria,AUT,1982-01-01,70996111962.5716,Europe & Central Asia,High income
Azerbaijan,AZE,1982-01-01,,Europe & Central Asia,Upper middle income
Burundi,BDI,1982-01-01,1013222222.22222,Sub-Saharan Africa,Low income
Belgium,BEL,1982-01-01,92095926187.5331,Europe & Central Asia,High income
Benin,BEN,1982-01-01,1267778670.35902,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1982-01-01,1754450096.23721,Sub-Saharan Africa,Low income
Bangladesh,BGD,1982-01-01,18525399201.5968,South Asia,Lower middle income
Bulgaria,BGR,1982-01-01,19342000000.0,Europe & Central Asia,High income
Bahrain,BHR,1982-01-01,4145421079.78723,Middle East & North Africa,High income
"Bahamas, The",BHS,1982-01-01,1578300000.0,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1982-01-01,,Europe & Central Asia,Upper middle income
Belarus,BLR,1982-01-01,,Europe & Central Asia,Upper middle income
Belize,BLZ,1982-01-01,248550000.0,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1982-01-01,785500032.0,North America,High income
Bolivia,BOL,1982-01-01,5600390625.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1982-01-01,271314113768.417,Latin America & Caribbean,Upper middle income
Barbados,BRB,1982-01-01,1163923830.35847,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1982-01-01,8932198185.72876,East Asia & Pacific,High income
Bhutan,BTN,1982-01-01,141439317.399271,South Asia,Lower middle income
Botswana,BWA,1982-01-01,1014945695.71927,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1982-01-01,748312390.756606,Sub-Saharan Africa,Low income
Canada,CAN,1982-01-01,314647807408.608,North America,High income
Central Europe and the Baltics,CEB,1982-01-01,,,
Switzerland,CHE,1982-01-01,115043365512.486,Europe & Central Asia,High income
Channel Islands,CHI,1982-01-01,,Europe & Central Asia,High income
Chile,CHL,1982-01-01,19529291464.7274,Latin America & Caribbean,High income
China,CHN,1982-01-01,205089699858.779,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1982-01-01,7567110848.92228,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1982-01-01,6611255963.83584,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1982-01-01,13651667371.1676,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1982-01-01,2160640564.56041,Sub-Saharan Africa,Lower middle income
Colombia,COL,1982-01-01,38968039721.748,Latin America & Caribbean,Upper middle income
Comoros,COM,1982-01-01,184009013.562815,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1982-01-01,140630678.983478,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1982-01-01,2606623554.56582,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1982-01-01,5152277681.83995,,
Cuba,CUB,1982-01-01,20953510235.2941,Latin America & Caribbean,Upper middle income
Curacao,CUW,1982-01-01,,Latin America & Caribbean,High income
Cayman Islands,CYM,1982-01-01,,Latin America & Caribbean,High income
Cyprus,CYP,1982-01-01,2159242416.76942,Europe & Central Asia,High income
Czechia,CZE,1982-01-01,,Europe & Central Asia,High income
Germany,DEU,1982-01-01,779421633755.138,Europe & Central Asia,High income
Djibouti,DJI,1982-01-01,,Middle East & North Africa,Lower middle income
Dominica,DMA,1982-01-01,89527576.6666667,Latin America & Caribbean,Upper middle income
Denmark,DNK,1982-01-01,60084214872.0657,Europe & Central Asia,High income
Dominican Republic,DOM,1982-01-01,8267400000.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1982-01-01,45207167470.3497,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1982-01-01,423461067062.816,,
Early-demographic dividend,EAR,1982-01-01,1461131232597.51,,
East Asia & Pacific,EAS,1982-01-01,1991572944986.88,,
Europe & Central Asia (excluding high income),ECA,1982-01-01,,,
Europe & Central Asia,ECS,1982-01-01,3957137122960.07,,
Ecuador,ECU,1982-01-01,19929846396.4239,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1982-01-01,27655172413.7931,Middle East & North Africa,Lower middle income
Euro area,EMU,1982-01-01,2500976096295.6,,
Eritrea,ERI,1982-01-01,,Sub-Saharan Africa,Low income
Spain,ESP,1982-01-01,195856752991.065,Europe & Central Asia,High income
Estonia,EST,1982-01-01,,Europe & Central Asia,High income
Ethiopia,ETH,1982-01-01,7899988840.57971,Sub-Saharan Africa,Low income
European Union,EUU,1982-01-01,2787789599375.11,,
Fragile and conflict affected situations,FCS,1982-01-01,488173929667.414,,
Finland,FIN,1982-01-01,52784013815.2214,Europe & Central Asia,High income
Fiji,FJI,1982-01-01,1194059943.22478,East Asia & Pacific,Upper middle income
France,FRA,1982-01-01,578152310609.841,Europe & Central Asia,High income
Faroe Islands,FRO,1982-01-01,444047495.320099,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1982-01-01,80055706.0,East Asia & Pacific,Lower middle income
Gabon,GAB,1982-01-01,3618007841.13503,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1982-01-01,515048916841.37,Europe & Central Asia,High income
Georgia,GEO,1982-01-01,,Europe & Central Asia,Upper middle income
Ghana,GHA,1982-01-01,4035994397.7591,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,1982-01-01,,Europe & Central Asia,High income
Guinea,GIN,1982-01-01,11926032493.4301,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,1982-01-01,216050552.301584,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1982-01-01,430284021.883771,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1982-01-01,44294647.733479,Sub-Saharan Africa,Upper middle income
Greece,GRC,1982-01-01,53858346938.7755,Europe & Central Asia,High income
Grenada,GRD,1982-01-01,125435590.0,Latin America & Caribbean,Upper middle income
Greenland,GRL,1982-01-01,402403041.029269,Europe & Central Asia,High income
Guatemala,GTM,1982-01-01,8716999700.0,Latin America & Caribbean,Upper middle income
Guam,GUM,1982-01-01,,East Asia & Pacific,High income
Guyana,GUY,1982-01-01,482000000.0,Latin America & Caribbean,High income
High income,HIC,1982-01-01,9371250938877.72,,
"Hong Kong SAR, China",HKG,1982-01-01,32291215843.6433,East Asia & Pacific,High income
Honduras,HND,1982-01-01,4266503525.5,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,1982-01-01,129595046945.696,,
Croatia,HRV,1982-01-01,,Europe & Central Asia,High income
Haiti,HTI,1982-01-01,1474200000.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,1982-01-01,24062916721.3121,Europe & Central Asia,High income
IBRD only,IBD,1982-01-01,2557686949781.3,,
IDA & IBRD total,IBT,1982-01-01,2984692379099.6,,
IDA total,IDA,1982-01-01,403546286954.07,,
IDA blend,IDB,1982-01-01,217363853765.008,,
Indonesia,IDN,1982-01-01,90158449294.9921,East Asia & Pacific,Upper middle income
IDA only,IDX,1982-01-01,181371701744.568,,
Isle of Man,IMN,1982-01-01,,Europe & Central Asia,High income
India,IND,1982-01-01,200715624830.902,South Asia,Lower middle income
Not classified,INX,1982-01-01,,,
Ireland,IRL,1982-01-01,21474754080.0358,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1982-01-01,125948756439.48,Middle East & North Africa,Upper middle income
Iraq,IRQ,1982-01-01,42382333333.3333,Middle East & North Africa,Upper middle income
Iceland,ISL,1982-01-01,3206626644.5371,Europe & Central Asia,High income
Israel,ISR,1982-01-01,29202655837.1698,Middle East & North Africa,High income
Italy,ITA,1982-01-01,428257421617.752,Europe & Central Asia,High income
Jamaica,JAM,1982-01-01,3293496311.93093,Latin America & Caribbean,Upper middle income
Jordan,JOR,1982-01-01,4681240992.70338,Middle East & North Africa,Lower middle income
Japan,JPN,1982-01-01,1158731426905.85,East Asia & Pacific,High income
Kazakhstan,KAZ,1982-01-01,,Europe & Central Asia,Upper middle income
Kenya,KEN,1982-01-01,6431579356.95926,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,1982-01-01,,Europe & Central Asia,Lower middle income
Cambodia,KHM,1982-01-01,865516039.800558,East Asia & Pacific,Lower middle income
Kiribati,KIR,1982-01-01,32742712.6527597,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,1982-01-01,86022222.2222222,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1982-01-01,78358416171.4889,East Asia & Pacific,High income
Kuwait,KWT,1982-01-01,21577153356.4192,Middle East & North Africa,High income
Latin America & Caribbean (excluding high income),LAC,1982-01-01,689044464346.414,,
